"model","setSize","model.ID","estimate","estimate.type"
"bias","s3",3515,0.100190476191429,"slope"
"bias","s3",3516,0.268666666646667,"y-int"
"bias","s3",3516,0.0794285714342857,"slope"
"bias","s3",3517,0.309333333306667,"y-int"
"bias","s3",3517,0.0178095238171428,"slope"
"bias","s3",3518,0.338888888906667,"y-int"
"bias","s3",3518,0.0142857142885714,"slope"
"bias","s3",3519,0.201111111153334,"y-int"
"bias","s3",3519,0.10619047618,"slope"
"bias","s3",3520,0.2331111111,"y-int"
"bias","s3",3520,0.0894285714285714,"slope"
"bias","s3",3521,0.292222222266667,"y-int"
"bias","s3",3521,0.0295238095142857,"slope"
"bias","s3",3522,0.342444444453333,"y-int"
"bias","s3",3522,0.00961904762285713,"slope"
"bias","s3",3523,0.21533333334,"y-int"
"bias","s3",3523,0.0999047619028571,"slope"
"bias","s3",3524,0.335111111126667,"y-int"
"bias","s3",3524,0.0202857142828571,"slope"
"bias","s3",3525,0.305555555533333,"y-int"
"bias","s3",3525,0.0233333333428572,"slope"
"bias","s3",3526,0.247333333326667,"y-int"
"bias","s3",3526,0.0740952380971428,"slope"
"bias","s3",3527,0.293999999966667,"y-int"
"bias","s3",3527,0.0483809523857143,"slope"
"bias","s3",3528,0.30755555552,"y-int"
"bias","s3",3528,0.02657142858,"slope"
"bias","s3",3529,0.281111111106667,"y-int"
"bias","s3",3529,0.0285714285742857,"slope"
"bias","s3",3530,0.26666666666,"y-int"
"bias","s3",3530,0.07714285714,"slope"
"bias","s3",3531,0.373333333353334,"y-int"
"bias","s3",3531,0.0299999999942857,"slope"
"bias","s3",3532,0.332888888886667,"y-int"
"bias","s3",3532,0.0131428571371428,"slope"
"bias","s3",3533,0.31533333328,"y-int"
"bias","s3",3533,0.02180952382,"slope"
"bias","s3",3534,0.285555555533333,"y-int"
"bias","s3",3534,0.0738095238142857,"slope"
"bias","s3",3535,0.325333333373333,"y-int"
"bias","s3",3535,0.0432380952314285,"slope"
"bias","s3",3536,0.296,"y-int"
"bias","s3",3536,0.0287619047571428,"slope"
"bias","s3",3537,0.278888888913333,"y-int"
"bias","s3",3537,0.0309523809485714,"slope"
