,0,1,2,3,4,5,6,7,8
50,"[0.35666667 0.39       0.37333333 0.43       0.43333333 0.47
 0.45666667 0.49666667 0.5        0.53       0.55333333 0.55      ]","[0.33166667 0.35166667 0.33666667 0.42166667 0.35166667 0.40666667
 0.41333333 0.40833333 0.48833333 0.46166667 0.435      0.46      ]","          0
0  0.666667
1  0.666667
2  0.666667
3  0.333333","          0
0  0.333333
1  1.000000
2  0.666667
3  0.000000",0.1,1,0.3,0.05,0.3
51,"[0.31       0.37333333 0.37666667 0.44       0.44333333 0.47666667
 0.43666667 0.47       0.47       0.52333333 0.51       0.54333333]","[0.32833333 0.37333333 0.38833333 0.37166667 0.405      0.395
 0.45333333 0.42833333 0.46833333 0.50666667 0.45666667 0.53166667]","          0
0  0.333333
1  0.000000
2  0.666667
3  0.333333","          0
0  0.333333
1  0.000000
2  0.666667
3  0.666667",0.2,1,0.3,0.05,0.3
52,"[0.34333333 0.36       0.36       0.39333333 0.38       0.43333333
 0.45       0.51       0.52       0.52666667 0.55       0.56333333]","[0.33833333 0.35166667 0.36333333 0.41666667 0.38833333 0.43
 0.44833333 0.43333333 0.45333333 0.47333333 0.48333333 0.47666667]","          0
0  0.333333
1  0.666667
2  0.666667
3  0.666667","          0
0  0.666667
1  1.000000
2  0.666667
3  0.666667",0.3,1,0.3,0.05,0.3
53,"[0.32       0.4        0.38       0.41666667 0.46666667 0.48333333
 0.51       0.53       0.49666667 0.55333333 0.56666667 0.54333333]","[0.33666667 0.33833333 0.37666667 0.38333333 0.385      0.41666667
 0.42833333 0.44833333 0.5        0.45833333 0.475      0.49333333]","          0
0  0.333333
1  0.000000
2  0.666667
3  0.333333","          0
0  0.666667
1  0.666667
2  0.333333
3  0.333333",0.4,1,0.3,0.05,0.3
54,"[0.31       0.36666667 0.43       0.39333333 0.41       0.47666667
 0.46333333 0.49       0.48333333 0.53333333 0.56666667 0.59333333]","[0.34833333 0.37666667 0.4        0.415      0.4        0.41666667
 0.46666667 0.43333333 0.48333333 0.48666667 0.49833333 0.51666667]","          0
0  0.666667
1  0.666667
2  0.000000
3  0.333333","          0
0  0.000000
1  0.666667
2  0.666667
3  0.666667",0.5,1,0.3,0.05,0.3
55,"[0.30333333 0.42       0.4        0.41666667 0.44       0.47333333
 0.49333333 0.48333333 0.5        0.55333333 0.56666667 0.54666667]","[0.33333333 0.38166667 0.35       0.39833333 0.39666667 0.4
 0.39833333 0.465      0.445      0.48       0.47833333 0.51833333]","          0
0  0.333333
1  0.666667
2  1.000000
3  0.000000","          0
0  0.333333
1  1.000000
2  0.666667
3  0.333333",0.1,2,0.3,0.05,0.3
56,"[0.35666667 0.39333333 0.36666667 0.43333333 0.47666667 0.50333333
 0.48       0.48333333 0.54       0.55333333 0.56333333 0.56666667]","[0.365      0.32833333 0.38166667 0.37       0.39833333 0.395
 0.455      0.44666667 0.44166667 0.45833333 0.46166667 0.495     ]","          0
0  0.000000
1  0.333333
2  0.666667
3  0.666667","          0
0  0.666667
1  0.666667
2  0.000000
3  0.333333",0.2,2,0.3,0.05,0.3
57,"[0.29333333 0.34       0.38333333 0.35666667 0.42666667 0.45333333
 0.49666667 0.48333333 0.46       0.48666667 0.54666667 0.57      ]","[0.325      0.36       0.355      0.35833333 0.40166667 0.42166667
 0.41833333 0.43333333 0.41833333 0.47333333 0.44166667 0.51      ]","          0
0  0.666667
1  1.000000
2  0.666667
3  0.666667","          0
0  0.333333
1  0.333333
2  0.666667
3  0.666667",0.3,2,0.3,0.05,0.3
58,"[0.41       0.39666667 0.37       0.37333333 0.43       0.48
 0.45       0.45333333 0.53       0.56       0.57333333 0.57333333]","[0.32833333 0.31333333 0.35666667 0.41833333 0.43166667 0.39666667
 0.44833333 0.435      0.465      0.49166667 0.49333333 0.485     ]","          0
0  0.333333
1  0.333333
2  0.666667
3  0.666667","          0
0  0.333333
1  0.333333
2  0.000000
3  0.333333",0.4,2,0.3,0.05,0.3
59,"[0.38333333 0.38666667 0.40333333 0.42       0.48333333 0.45333333
 0.42       0.55333333 0.51333333 0.50333333 0.55333333 0.58333333]","[0.335      0.345      0.4        0.36833333 0.37833333 0.38
 0.43666667 0.45666667 0.455      0.475      0.49333333 0.48      ]","          0
0  0.333333
1  0.666667
2  0.666667
3  0.333333","          0
0  1.000000
1  0.000000
2  1.000000
3  0.666667",0.5,2,0.3,0.05,0.3
60,"[0.33       0.39666667 0.41       0.39333333 0.39333333 0.44666667
 0.48333333 0.51       0.45333333 0.50333333 0.57       0.56666667]","[0.38       0.35       0.39166667 0.38666667 0.395      0.41666667
 0.435      0.40666667 0.44166667 0.48333333 0.50166667 0.50333333]","          0
0  0.000000
1  0.333333
2  0.000000
3  0.000000","          0
0  0.666667
1  0.666667
2  0.666667
3  0.333333",0.1,3,0.3,0.05,0.3
61,"[0.35       0.37333333 0.39666667 0.43       0.41333333 0.46
 0.47333333 0.46333333 0.5        0.49       0.52       0.59666667]","[0.33333333 0.37       0.32333333 0.38833333 0.39833333 0.42833333
 0.44666667 0.43666667 0.48666667 0.48833333 0.44666667 0.52166667]","          0
0  0.666667
1  0.333333
2  0.666667
3  0.333333","          0
0  0.333333
1  0.666667
2  0.666667
3  1.000000",0.2,3,0.3,0.05,0.3
62,"[0.36333333 0.37333333 0.36       0.44333333 0.43666667 0.45333333
 0.43666667 0.54666667 0.52       0.59       0.57333333 0.6       ]","[0.31333333 0.345      0.37166667 0.39       0.40166667 0.40333333
 0.41666667 0.45166667 0.47666667 0.50166667 0.49333333 0.5       ]","          0
0  0.000000
1  0.333333
2  1.000000
3  1.000000","          0
0  1.000000
1  0.333333
2  0.666667
3  0.000000",0.3,3,0.3,0.05,0.3
