participant,Intromessage,initials,birthdate,age,sex,gender,ethnicity,race,education,handedness,nativeenglish,secondlang,whatseclang,LangClassification,colorblind,whatcolorblind,outromessage,CollinsNaming,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.be740c18-89f9-4d34-8577-a6d862737059.txt,8337,4950,8891,2818,1663,1981,2807,2345,7600,3741,6976,2595,"",7071,2032,"",1177,"",10860,2020-06-03-02-13,"",""
s.3a0bca27-afdc-4987-8e39-e70807bbdd47.txt,87160,3345,9414,3999,2022,1950,2804,2706,7632,2461,1803,1867,"",18387,2407,"",3498,"",24817,2020-06-03-18-37,2020-06-03-18-49,12
s.59f4ab3e-e8bd-4b09-853a-9a5db5e63b6c.txt,8160,6055,4547,2862,2081,1260,2795,18172,2585,2086,2165,1359,"",2552,1551,"",906,"",57763,2020-06-04-06-41,"",""
s.b291c05e-56d3-485a-980c-9f93a3cb3480.txt,9329,10317,8105,4116,2772,4396,7158,8716,15511,4503,14433,2328,5258,3169,2657,"",1212,"",11025,2020-06-03-08-12,"",""
s.44f88de3-250e-4da4-8a32-efe0c4301cda.txt,938,4308,6983,3262,2201,3531,2432,4841,11656,2496,1840,4155,"",7371,1970,"",1515,"",10732,2020-06-02-23-18,2020-06-02-23-31,13
s.52c5c84b-2df7-44c1-ba67-a76b5d270978.txt,16196,5564,6627,2906,1787,2601,3849,2678,5799,2287,1609,1658,3489,21049,1722,"",9362,"",27549,2020-06-03-02-51,2020-06-03-03-04,13
s.bc1452d2-5b45-4c69-ac9a-b3f64e56692d.txt,2773,3522,7113,3173,2120,3036,4309,2838,14550,2653,3464,3357,"",2613,1533,"",5567,"",21703,2020-06-04-03-07,2020-06-04-03-20,13
s.3c32d310-4fb1-4aa1-ad38-ea549f2955ce.txt,1530,5008,11217,4610,38258,2793,3095,4984,5840,4111,3438,6941,7536,11910,2769,"",834,"",12387,2020-06-02-23-40,2020-06-02-23-55,15
s.7d7412de-4353-413e-bb9e-8dcf6ec5f86b.txt,16956,3861,8545,2836,2620,2048,3635,3149,14477,3019,2150,2259,"",30993,2288,"",3258,"",222596,2020-06-03-01-40,2020-06-03-01-59,19
s.5115f218-cc43-495e-b2ab-9435febf32bf.txt,1582,10130,20397,3227,2580,15327,216410,17221,10595,11871,3535,3486,5052,16176,4209,"",3029,"",12826,2020-06-05-00-03,2020-06-05-00-59,56
